year,mu_1,mu_2,b,se,f_change,legend
2010,9.4663,9.2579,0.2083,0.0096,0,Baseline
2020,9.461,9.2256,0.2355,0.0098,-3.178392632,Baseline
2030,9.3892,9.124,0.2652,0.013,-12.5322472,Baseline
2040,9.3991,9.1143,0.2848,0.0136,-13.37658276,Baseline
2050,9.3875,9.088,0.2995,0.0142,-15.62508127,Baseline
2060,9.3427,9.0337,0.3089,0.0158,-20.08447127,Baseline
2070,9.3394,9.013,0.3264,0.0173,-21.72171874,Baseline
2080,9.3602,9.0466,0.3135,0.0158,-19.04688289,Baseline
2090,9.3035,8.9796,0.324,0.0179,-24.29303335,Baseline
2010,9.4658,9.2348,0.2311,0.0096,0,Knowledge transfers
2020,9.4517,9.2036,0.2481,0.0098,-3.07,Knowledge transfers
2030,9.3655,9.1529,0.2126,0.0129,-7.86,Knowledge transfers
2040,9.3686,9.1335,0.235,0.0134,-9.63,Knowledge transfers
2050,9.349,9.1108,0.2382,0.0141,-11.66,Knowledge transfers
2060,9.3016,9.0947,0.2068,0.0156,-13.07,Knowledge transfers
2070,9.2909,9.0735,0.2174,0.0168,-14.9,Knowledge transfers
2080,9.3157,9.0887,0.227,0.0155,-13.59,Knowledge transfers
2090,9.2515,9.0608,0.1907,0.0177,-15.97,Knowledge transfers
2010,9.4707,9.2254,0.2453,0.0097,0,Financial agency
2020,9.4674,9.1997,0.2676,0.0098,-2.54,Financial agency
2030,9.3959,9.1296,0.2663,0.0126,-9.14,Financial agency
2040,9.4078,9.1197,0.2881,0.0132,-10.03,Financial agency
2050,9.3975,9.0995,0.2981,0.0137,-11.83,Financial agency
2060,9.3514,9.0644,0.287,0.0152,-14.87,Financial agency
2070,9.3498,9.0477,0.3021,0.0165,-16.28,Financial agency
2080,9.3705,9.0706,0.2999,0.0152,-14.34,Financial agency
2090,9.3132,9.0255,0.2877,0.0172,-18.12,Financial agency
2010,9.4788,9.1511,0.3277,0.0094,0,Land ownership
2020,9.4788,9.1175,0.3613,0.0095,-3.3,Land ownership
2030,9.4177,9.0307,0.387,0.0121,-11.34,Land ownership
2040,9.4311,9.0167,0.4144,0.0127,-12.58,Land ownership
2050,9.4244,8.9905,0.4339,0.0131,-14.84,Land ownership
2060,9.3826,8.9484,0.4342,0.0145,-18.35,Land ownership
2070,9.3837,8.9264,0.4573,0.0158,-20.12,Land ownership
2080,9.4014,8.9546,0.4469,0.0145,-17.84,Land ownership
2090,9.351,8.8994,0.4516,0.0164,-22.25,Land ownership
2010,9.4713,9.227,0.2443,0.0095,0,Agricultural capital
2020,9.4699,9.1936,0.2763,0.0096,-3.28,Agricultural capital
2030,9.4105,9.1044,0.3061,0.012,-11.54,Agricultural capital
2040,9.4219,9.091,0.3309,0.0126,-12.72,Agricultural capital
2050,9.4144,9.0647,0.3497,0.013,-14.98,Agricultural capital
2060,9.375,9.0208,0.3542,0.0143,-18.63,Agricultural capital
2070,9.3749,8.9989,0.3759,0.0154,-20.4,Agricultural capital
2080,9.3921,9.0279,0.3641,0.0143,-18.05,Agricultural capital
2090,9.3438,8.9709,0.3729,0.016,-22.59,Agricultural capital
