year,mean,p50,p5,p95,legend,gender
2010,0,0,0,0,Solely managed plots,Male
2020,-4.15,-4.25,-26.09,17.3,Solely managed plots,Male
2030,-9.24,-9.26,-29.36,12.63,Solely managed plots,Male
2040,-13.32,-13.49,-33.03,5.84,Solely managed plots,Male
2050,-16.96,-17.11,-35.98,1.21,Solely managed plots,Male
2060,-16.6,-16.55,-35.73,1.64,Solely managed plots,Male
2070,-20.15,-20.29,-38.7,-3.06,Solely managed plots,Male
2080,-18.91,-19.09,-37.79,-1.26,Solely managed plots,Male
2090,-20.57,-20.53,-39.18,-3.27,Solely managed plots,Male
2010,0,0,,,No spousal cooperation,Male
2020,-7.33,-13.09,,,No spousal cooperation,Male
2030,-22.09,-26.99,,,No spousal cooperation,Male
2040,-32.28,-36.88,,,No spousal cooperation,Male
2050,-40.73,-44.63,,,No spousal cooperation,Male
2060,-40.4,-44.41,,,No spousal cooperation,Male
2070,-47.58,-50.85,,,No spousal cooperation,Male
2080,-45.01,-48.87,,,No spousal cooperation,Male
2090,-48.9,-51.79,,,No spousal cooperation,Male
2010,0,0,,,Insecure land tenure,Male
2020,-3.37,-4,,,Insecure land tenure,Male
2030,-12.92,-9.5,,,Insecure land tenure,Male
2040,-16,-12.52,,,Insecure land tenure,Male
2050,-19.73,-15.64,,,Insecure land tenure,Male
2060,-21.47,-16.23,,,Insecure land tenure,Male
2070,-23.25,-18.43,,,Insecure land tenure,Male
2080,-22.1,-17.14,,,Insecure land tenure,Male
2090,-25.73,-20.39,,,Insecure land tenure,Male
2010,0,0,0,0,Solely managed plots,Female
2020,-4.82,-7.17,-40.44,19.93,Solely managed plots,Female
2030,-16.75,-14.71,-61.96,12.44,Solely managed plots,Female
2040,-22.21,-19.68,-60.07,4.79,Solely managed plots,Female
2050,-27.02,-23.7,-72.5,-1.11,Solely managed plots,Female
2060,-28.35,-24.33,-77.13,-0.44,Solely managed plots,Female
2070,-31.3,-27.85,-81.23,-5.49,Solely managed plots,Female
2080,-29.98,-26.51,-78.59,-3.86,Solely managed plots,Female
2090,-33.94,-29.58,-91.54,-6.47,Solely managed plots,Female
2010,0,0,,,No spousal cooperation,Female
2020,-11.34,-19.13,,,No spousal cooperation,Female
2030,-29.01,-35.45,,,No spousal cooperation,Female
2040,-40.99,-46.83,,,No spousal cooperation,Female
2050,-49.91,-53.61,,,No spousal cooperation,Female
2060,-50.14,-54.31,,,No spousal cooperation,Female
2070,-57.05,-61.23,,,No spousal cooperation,Female
2080,-54.92,-58.72,,,No spousal cooperation,Female
2090,-59.01,-61.54,,,No spousal cooperation,Female
2010,0,0,,,Insecure land tenure,Female
2020,-10.13,-13.68,,,Insecure land tenure,Female
2030,-24.21,-26.15,,,Insecure land tenure,Female
2040,-33.02,-34.63,,,Insecure land tenure,Female
2050,-40.19,-40.8,,,Insecure land tenure,Female
2060,-40.9,-41.14,,,Insecure land tenure,Female
2070,-46.3,-47.23,,,Insecure land tenure,Female
2080,-44.46,-44.87,,,Insecure land tenure,Female
2090,-48.5,-48.09,,,Insecure land tenure,Female
