="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)"
="",="ln_labor",="ln_homelabor",="hirelabor_dummy",="ln_input",="ln_seed",="iarea_m2",="intercrop",="crop_diversity",="ln_fertilizer",="organic_fertilizer"
="female_hdd31",="0.0241",="0.0358*",="-0.0038",="0.0092",="-0.0062",="-1.5502",="-0.0085",="-0.0052",="0.0180",="0.0003"
="",="(0.0231)",="(0.0192)",="(0.0099)",="(0.0239)",="(0.0218)",="(2.5025)",="(0.0075)",="(0.0058)",="(0.0591)",="(0.0056)"
="female_hddlag",="-0.0288",="-0.0300",="-0.0047",="-0.0096",="0.0075",="-2.7827",="-0.0057",="0.0032",="0.0287",="-0.0015"
="",="(0.0289)",="(0.0231)",="(0.0124)",="(0.0277)",="(0.0251)",="(2.2888)",="(0.0092)",="(0.0071)",="(0.0590)",="(0.0051)"
="male_hdd31",="0.0149",="0.0227**",="0.0012",="0.0312***",="0.0294***",="3.4995",="-0.0089",="-0.0038",="0.0281",="0.0027"
="",="(0.0103)",="(0.0103)",="(0.0042)",="(0.0092)",="(0.0095)",="(2.3666)",="(0.0056)",="(0.0033)",="(0.0636)",="(0.0038)"
="male_hddlag",="-0.0054",="-0.0054",="-0.0034",="-0.0260***",="-0.0246***",="-4.1538**",="-0.0023",="-0.0002",="-0.0252",="-0.0035"
="",="(0.0079)",="(0.0065)",="(0.0027)",="(0.0069)",="(0.0059)",="(2.0037)",="(0.0042)",="(0.0023)",="(0.0165)",="(0.0022)"
="female_gdd31",="-0.0090***",="-0.0089***",="0.0001",="0.0006",="0.0002",="1.5182***",="0.0012",="0.0011**",="-0.0017",="-0.0015**"
="",="(0.0022)",="(0.0022)",="(0.0009)",="(0.0019)",="(0.0020)",="(0.5070)",="(0.0007)",="(0.0005)",="(0.0029)",="(0.0007)"
="female_gddlag",="0.0085***",="0.0078***",="0.0005",="0.0001",="0.0005",="-1.6657***",="-0.0010",="-0.0011**",="0.0027",="0.0015**"
="",="(0.0022)",="(0.0023)",="(0.0008)",="(0.0019)",="(0.0019)",="(0.5281)",="(0.0007)",="(0.0005)",="(0.0029)",="(0.0007)"
="male_gdd31",="-0.0085***",="-0.0086***",="0.0008",="0.0026",="0.0028",="1.7684***",="0.0011",="0.0010**",="-0.0015",="-0.0016**"
="",="(0.0021)",="(0.0021)",="(0.0008)",="(0.0018)",="(0.0019)",="(0.5044)",="(0.0007)",="(0.0005)",="(0.0028)",="(0.0006)"
="male_gddlag",="0.0077***",="0.0072***",="-0.0001",="-0.0021",="-0.0024",="-1.9300***",="-0.0009",="-0.0010*",="0.0029",="0.0015**"
="",="(0.0021)",="(0.0021)",="(0.0008)",="(0.0017)",="(0.0018)",="(0.5057)",="(0.0007)",="(0.0005)",="(0.0027)",="(0.0006)"
="pr",="-0.0164",="-0.0217*",="0.0148***",="-0.0130",="-0.0177",="-5.9410*",="0.0063*",="0.0036",="0.0051",="0.0006"
="",="(0.0110)",="(0.0112)",="(0.0042)",="(0.0106)",="(0.0109)",="(3.5594)",="(0.0037)",="(0.0027)",="(0.0162)",="(0.0036)"
="pr2",="0.0000*",="0.0001*",="-0.0000***",="0.0000*",="0.0001**",="0.0150**",="-0.0000",="-0.0000",="-0.0000",="-0.0000"
="",="(0.0000)",="(0.0000)",="(0.0000)",="(0.0000)",="(0.0000)",="(0.0071)",="(0.0000)",="(0.0000)",="(0.0000)",="(0.0000)"
="ws",="-0.9028***",="-1.1477***",="-0.0694",="0.2672",="0.1037",="125.2470*",="-0.0871",="0.0235",="-0.7364*",="-0.1685*"
="",="(0.3088)",="(0.3045)",="(0.1354)",="(0.2815)",="(0.2928)",="(70.6250)",="(0.1087)",="(0.0787)",="(0.4011)",="(0.0995)"
="ws2",="0.6755***",="0.8232***",="-0.0377",="-0.1446",="-0.1638",="-50.2796*",="0.0517",="0.0087",="0.6594***",="0.0047"
="",="(0.1329)",="(0.1379)",="(0.0590)",="(0.1233)",="(0.1207)",="(27.4202)",="(0.0478)",="(0.0340)",="(0.1939)",="(0.0441)"
="sr",="0.0498",="0.0646",="-0.0305",="-0.1506***",="-0.0950**",="14.8804",="-0.0110",="-0.0086",="-0.1129",="0.0214"
="",="(0.0468)",="(0.0480)",="(0.0212)",="(0.0444)",="(0.0424)",="(12.5845)",="(0.0163)",="(0.0114)",="(0.0961)",="(0.0177)"
="sr2",="-0.0002",="-0.0003*",="0.0001",="0.0004***",="0.0003**",="-0.0661**",="0.0000",="0.0000",="0.0003",="-0.0000"
="",="(0.0001)",="(0.0001)",="(0.0001)",="(0.0001)",="(0.0001)",="(0.0335)",="(0.0000)",="(0.0000)",="(0.0002)",="(0.0000)"
="pests_shock",="0.1250***",="0.1221***",="-0.0039",="0.0237",="0.0319",="24.4114*",="0.2150***",="0.1781***",="-0.0323",="0.0362**"
="",="(0.0310)",="(0.0312)",="(0.0117)",="(0.0237)",="(0.0222)",="(12.9169)",="(0.0138)",="(0.0107)",="(0.0589)",="(0.0141)"
