="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)"
="",="ln_labor",="ln_homelabor",="hirelabor_dummy",="ln_input",="ln_seed",="ln_pestherb",="intercrop",="crop_diversity",="ln_fertilizer",="organic_fertilizer"
="female_hdd34",="-0.0173",="-0.0098",="-0.0241***",="0.0086",="-0.2807",="0.1026*",="-0.0080",="0.0016",="0.1660",="0.0045*"
="",="(0.0200)",="(0.0212)",="(0.0073)",="(0.0430)",="(0.3590)",="(0.0548)",="(0.0071)",="(0.0048)",="(0.1181)",="(0.0026)"
="female_hddlag",="0.0097",="-0.0146",="0.0316**",="0.0331",="0.2738",="-0.1426**",="-0.0070",="0.0095",="-0.0775",="-0.0025"
="",="(0.0269)",="(0.0288)",="(0.0151)",="(0.0398)",="(0.2469)",="(0.0704)",="(0.0099)",="(0.0081)",="(0.0751)",="(0.0066)"
="male_hdd34",="0.0106",="0.0061",="-0.0097***",="0.0219**",="0.0112",="0.0303*",="-0.0036",="0.0002",="-0.0148",="0.0002"
="",="(0.0085)",="(0.0089)",="(0.0033)",="(0.0101)",="(0.0277)",="(0.0172)",="(0.0029)",="(0.0020)",="(0.0136)",="(0.0016)"
="male_hddlag",="-0.0087",="-0.0173",="-0.0019",="-0.0105",="0.0135",="-0.0387**",="-0.0004",="0.0014",="0.0084",="0.0074"
="",="(0.0147)",="(0.0158)",="(0.0055)",="(0.0172)",="(0.0340)",="(0.0194)",="(0.0047)",="(0.0037)",="(0.0221)",="(0.0052)"
="female_gdd34",="-0.0075**",="-0.0074**",="-0.0011",="0.0067**",="0.0119",="0.0061",="-0.0000",="-0.0004",="0.0093*",="-0.0015***"
="",="(0.0030)",="(0.0032)",="(0.0010)",="(0.0033)",="(0.0086)",="(0.0048)",="(0.0009)",="(0.0006)",="(0.0048)",="(0.0006)"
="female_gddlag",="0.0046",="0.0031",="0.0021*",="-0.0037",="-0.0037",="0.0056",="0.0008",="-0.0001",="-0.0022",="0.0009"
="",="(0.0032)",="(0.0034)",="(0.0013)",="(0.0044)",="(0.0123)",="(0.0057)",="(0.0011)",="(0.0006)",="(0.0054)",="(0.0006)"
="male_gdd34",="-0.0074**",="-0.0067**",="-0.0006",="0.0061**",="0.0122",="0.0064",="0.0002",="-0.0005",="0.0072*",="-0.0011*"
="",="(0.0029)",="(0.0031)",="(0.0010)",="(0.0031)",="(0.0080)",="(0.0046)",="(0.0009)",="(0.0006)",="(0.0042)",="(0.0006)"
="male_gddlag",="0.0039",="0.0018",="0.0019",="-0.0025",="-0.0010",="0.0056",="0.0006",="0.0001",="0.0002",="0.0005"
="",="(0.0032)",="(0.0034)",="(0.0012)",="(0.0042)",="(0.0110)",="(0.0055)",="(0.0010)",="(0.0006)",="(0.0051)",="(0.0006)"
="pr",="-0.0284**",="-0.0344**",="-0.0002",="0.0041",="0.0608",="0.0213",="0.0004",="-0.0021",="0.0086",="-0.0104***"
="",="(0.0142)",="(0.0158)",="(0.0056)",="(0.0191)",="(0.0520)",="(0.0262)",="(0.0047)",="(0.0029)",="(0.0274)",="(0.0028)"
="pr2",="0.0001*",="0.0001**",="-0.0000",="0.0000",="-0.0001",="-0.0001",="0.0000",="0.0000",="0.0000",="0.0000***"
="",="(0.0000)",="(0.0000)",="(0.0000)",="(0.0001)",="(0.0002)",="(0.0001)",="(0.0000)",="(0.0000)",="(0.0001)",="(0.0000)"
