country,legend,coef,se,lower95,upper95,lower90,upper90
Ethiopia,Baseline,-0.0141,0.0054,-0.0247,-0.0035,-0.022983,-0.005217
Ethiopia,Remove district-year fixed effects,-0.0133,0.0055,-0.024,-0.0026,-0.0223475,-0.0042525
Ethiopia,Remove main crop fixed effects,-0.0135,0.0064,-0.0261,-0.001,-0.024028,-0.002972
Ethiopia,Remove plot characteristics,-0.0137,0.0053,-0.024,-0.0034,-0.0224185,-0.0049815
Ethiopia,Remove individual characteristics,-0.0135,0.0052,-0.0238,-0.0033,-0.022054,-0.004946
Ethiopia,Remove household characteristics,-0.0142,0.0055,-0.025,-0.0035,-0.0232475,-0.0051525
Ethiopia,Remove soil type fixed effects,-0.0141,0.004,-0.0219,-0.0064,-0.02068,-0.00752
Ethiopia,Remove soil fertility & management,-0.0141,0.0054,-0.0247,-0.0034,-0.022983,-0.005217
Ethiopia,Include most limiting soil quality,-0.0143,0.0055,-0.02508,-0.00352,-0.0233475,-0.0052525
Ethiopia,Include 6 remote-sensed soil qualities,-0.0136,0.0054,-0.024184,-0.003016,-0.022483,-0.004717
Ethiopia,Include use of organic fertilizer,-0.014,0.0055,-0.02478,-0.00322,-0.0230475,-0.0049525
Ethiopia,Include plot characteristics × female,-0.0143,0.0053,-0.024688,-0.003912,-0.0230185,-0.0055815
Ethiopia,Include ethnicity × year fixed effects,-0.0135,0.0054,-0.024084,-0.002916,-0.022383,-0.004617
Ethiopia,Include HDD × female-headed families,-0.0174,0.0032,-0.023672,-0.011128,-0.022664,-0.012136
Ethiopia,Subsample: married,-0.0183,0.0034,-0.024964,-0.011636,-0.023893,-0.012707
Ethiopia,Subsample: live with spouse,-0.0198,0.003,-0.02568,-0.01392,-0.024735,-0.014865
Ethiopia,Subsample: have children,-0.015,0.0051,-0.024996,-0.005004,-0.0233895,-0.0066105
Ethiopia,Subsample: families with care burden,-0.0168,0.0036,-0.023856,-0.009744,-0.022722,-0.010878
Ethiopia,Subsample: full-area planted,-0.0136,0.0056,-0.024576,-0.002624,-0.022812,-0.004388
Ethiopia,Subsample: harvest completed,-0.0142,0.0055,-0.02498,-0.00342,-0.0232475,-0.0051525
Nigeria,Baseline,-0.0239,0.0089,-0.041344,-0.006456,-0.0385405,-0.0092595
